Date,pkr_to_oneDollar,Gold_Price_In_Dolars,Petrol_Price,Year,Month,lag_1,lag_2,lag_3,rolling_mean_3,diff_1
2018-08-01,123.6,115.62999725341795,104.5,2018,8,121.715,115.785,115.77,120.36666666666667,1.884999999999991
2018-09-01,123.51,112.75,106.72,2018,9,123.6,121.715,115.785,122.94166666666666,-0.0899999999999892
2018-10-01,123.4,112.4000015258789,108.45,2018,10,123.51,123.6,121.715,123.50333333333333,-0.10999999999999943
2018-11-01,133.7,116.33000183105467,106.72,2018,11,123.4,123.51,123.6,126.87,10.299999999999983
2018-12-01,139.15,116.5999984741211,101.57,2018,12,133.7,123.4,123.51,132.08333333333334,5.450000000000017
2019-01-01,139.85,121.3499984741211,95.33,2019,1,139.15,133.7,123.4,137.5666666666667,0.6999999999999886
2019-02-01,139.525,124.88999938964844,94.13,2019,2,139.85,139.15,133.7,139.50833333333333,-0.32499999999998863
2019-03-01,138.625,123.4800033569336,92.89,2019,3,139.525,139.85,139.15,139.33333333333334,-0.9000000000000057
2019-04-01,140.85,122.4000015258789,96.0,2019,4,138.625,139.525,139.85,139.66666666666666,2.2249999999999943
2019-05-01,141.3,121.02999877929688,98.55,2019,5,140.85,138.625,139.525,140.25833333333333,0.45000000000001705
2019-06-01,147.6,124.08999633789062,99.99,2019,6,141.3,140.85,138.625,143.25,6.299999999999983
2019-07-01,161.59,131.55999755859375,100.84,2019,7,147.6,141.3,140.85,150.16333333333333,13.990000000000009
2019-08-01,160.5,132.4199981689453,99.1,2019,8,161.59,147.6,141.3,156.56333333333336,-1.0900000000000034
2019-09-01,156.0,144.9600067138672,96.0,2019,9,160.5,161.59,147.6,159.36333333333334,-4.5
2019-10-01,156.15,138.07000732421875,95.33,2019,10,156.0,160.5,161.59,157.54999999999998,0.15000000000000568
2019-11-01,154.46,142.2100067138672,97.2,2019,11,156.15,156.0,160.5,155.53666666666666,-1.6899999999999977
2019-12-01,154.75,137.32000732421875,99.99,2019,12,154.46,156.15,156.0,155.12,0.28999999999999204
2020-01-01,154.6,143.86000061035156,106.0,2020,1,154.75,154.46,156.15,154.60333333333332,-0.15000000000000568
2020-02-01,154.02,148.66000366210938,104.5,2020,2,154.6,154.75,154.46,154.45666666666668,-0.5799999999999841
2020-03-01,153.83,150.0,98.55,2020,3,154.02,154.6,154.75,154.15,-0.18999999999999773
2020-04-01,165.19,148.1999969482422,85.0,2020,4,153.83,154.02,154.6,157.68,11.359999999999985
2020-05-01,160.0,158.0,81.0,2020,5,165.19,153.83,154.02,159.67333333333332,-5.189999999999998
2020-06-01,163.25,162.9199981689453,76.0,2020,6,160.0,165.19,153.83,162.81333333333333,3.25
2020-07-01,167.2,167.0500030517578,100.1,2020,7,163.25,160.0,165.19,163.48333333333332,3.9499999999999886
2020-08-01,166.23,185.0500030517578,103.27,2020,8,167.2,163.25,160.0,165.55999999999997,-0.9699999999999989
2020-09-01,165.02,186.9900054931641,104.5,2020,9,166.23,167.2,163.25,166.15,-1.2099999999999795
